"Roosh Williams","hiphopdx.com/index/news/id.25623/title.roosh-williams-drobots-the-reboot-cover-art-tracklisting-download-stream?utm_source=twitterfeed&utm_medium=twitter","facebook.com/pages/Roosh-Williams/116154455078227","youtube.com/watch?v=7hFMwQOfcUk","sonicbids.com/band/RooshWilliams2","","Houston ","TX",""
"Burgess Meredith","","facebook.com/burgessmeredithmusic","youtube.com/burgessmeredithmusic","","","Austin","TX",""
"Zefirina","sonicbids.com/2/EPK/?epk_id=276240","facebook.com/zefirinabomba?fref=ts","","sonicbids.com/band/zefirina","","João Pessoa","","BRAZIL"
"Wardell","","facebook.com/wardellmusic","","","","Los Angeles","CA",""
"Panama Wedding","","facebook.com/panamawedding","youtube.com/user/panamawedding","","","New York","NY",""
"The Pack A.D.","","facebook.com/thepackad","youtube.com/user/ThePackad/videos","","","Vancouver","BC","CANADA"
"The Crookes","","facebook.com/thecrookes.music","youtube.com/user/thecrookes/featured","","","Sheffield","","UK-ENGLAND"
"Carolyn Wonderland","","facebook.com/wonderchicken","youtube.com/user/carolynwonderlandbiz","","","Austin","TX",""
"The Mastersons","","facebook.com/themastersons","youtube.com/themastersonsmusic","","","Austin","TX",""
"Hedvig Mollestad Trio","soundcloud.com/hedvigmollestadtrio","facebook.com/hedvigmollestadtrio","","sonicbids.com/band/HedvigMollestadTrio","","Oslo","","NORWAY"
"Killa Kyleon","","","","","","Houston","TX",""
"Doughbeezy","","facebook.com/doughbeezy","youtube.com/doughbeezyent","","","Houston","TX",""
"Propain","gotpropain.com","facebook.com/propain713","youtube.com/propain713","sonicbids.com/band/Propain2","","Houston","TX",""
"La Femme","","facebook.com/lafemmeressort","youtube.com/user/lafemmeressortt","","","Biarritz","","FRANCE"
"Dizzy Wright","","facebook.com/DizzyWright","youtube.com/FunkVolume","","","Las Vegas","NV",""
"Hopsin","","facebook.com/hellohopsin","youtube.com/hopsintv","","","Panorama City","CA",""
"Ivan and the Parazol","","facebook.com/ivanandtheparazol","youtube.com/ivanandtheparazol","","","Budapest","","HUNGARY"
"Diarrhea Planet","","facebook.com/diarrheaplanet","youtube.com/infinitycatrecords","","","Nashville","TN",""
"Marigold","","facebook.com/marigoldsweden","youtube.com/user/marigoldsweden","","","Borlänge","","SWEDEN"
"Kristal and Jonny Boy","","facebook.com/KRISTALANDJONNYBOY.SE","youtube.com/kristinahanses","","","Stockholm","","SWEDEN"
"Oh Mercy","ohmercy.com.au","facebook.com/ohmercy","youtube.com/ohmercyband","sonicbids.com/band/OhMercy","","Melbourne","","AUSTRALIA"
"Univers","univvers.bandcamp.com/","facebook.com/univvers?fref=ts","","sonicbids.com/band/Univers","","Barcelona","","SPAIN"
